33M Combined_Bin,33M Combined_Counts,125M Combined_Bin,125M Combined_Counts,desi_Bin,desi_Counts,sos_Bin,sos_Counts,lamost_Bin,lamost_Counts,sdss_Bin,sdss_Counts,others_Bin,others_Counts
-3.4500000000000277,561.9999999998734,-3.725000000000028,318.99999999993287,-3.4500000000000277,506.9999999999174,-3.725000000000028,1.1191048088221817e-11,-2.935000000000028,11.000000000005329,-3.480000000000028,2.000000000005418,-2.930000000000028,17.99999999999929
-3.440000000000028,576.0000000000385,-3.7150000000000283,304.0000000000591,-3.440000000000028,523.0000000000441,-3.7150000000000283,3.9999999999886313,-2.9250000000000282,14.999999999960032,-3.470000000000028,3.9999999999885425,-2.9200000000000284,23.999999999982236
-3.430000000000028,616.999999999767,-3.7050000000000285,296.99999999998863,-3.430000000000028,556.9999999997697,-3.7050000000000285,1.0000000000056843,-2.9150000000000285,5.000000000045475,-3.4600000000000284,2.0000000000056843,-2.9100000000000286,26.999999999970157
-3.4200000000000284,619.9999999999935,-3.6950000000000287,261.0000000000555,-3.4200000000000284,565.9999999999848,-3.6950000000000287,5.684341886080923e-12,-2.9050000000000287,4.999999999988631,-3.4500000000000286,2.999999999994316,-2.9000000000000288,17.000000000069633
-3.4100000000000286,670.9999999999711,-3.685000000000029,262.0000000000181,-3.4100000000000286,612.9999999999909,-3.685000000000029,2.0,-2.895000000000029,5.000000000005507,-3.440000000000029,3.0000000000000004,-2.890000000000029,14.999999999975842
-3.4000000000000288,689.9999999999948,-3.675000000000029,285.9999999999927,-3.4000000000000288,637.9999999999524,-3.675000000000029,0.0,-2.885000000000029,6.999999999999822,-3.430000000000029,1.0000000000112799,-2.880000000000029,17.999999999982414
-3.390000000000029,670.9999999999882,-3.6650000000000293,269.9999999999766,-3.390000000000029,620.9999999999629,-3.6650000000000293,1.999999999994138,-2.8750000000000293,3.9999999999941385,-3.4200000000000292,1.9999999999999112,-2.8700000000000294,18.000000000011724
-3.380000000000029,549.0000000003283,-3.6550000000000296,256.0000000000647,-3.380000000000029,499.00000000034004,-3.6550000000000296,1.9999999999999112,-2.8650000000000295,9.000000000000002,-3.4100000000000295,2.9999999999880096,-2.8600000000000296,16.000000000005862
-3.3700000000000294,549.9999999999179,-3.6450000000000298,293.99999999989285,-3.3700000000000294,491.99999999995896,-3.6450000000000298,1.0000000000059508,-2.8550000000000297,5.999999999999734,-3.4000000000000297,4.000000000006128,-2.85000000000003,24.99999999996954
-3.3600000000000296,549.9999999999532,-3.63500000000003,279.0000000001137,-3.3600000000000296,498.99999999995896,-3.63500000000003,2.9999999999939604,-2.84500000000003,6.999999999987654,-3.39000000000003,3.9999999999875655,-2.84000000000003,30.00000000000489
-3.35000000000003,490.00000000016473,-3.62500000000003,270.99999999993963,-3.35000000000003,451.0000000001137,-3.62500000000003,2.0,-2.83500000000003,10.99999999999396,-3.38000000000003,3.0000000000120792,-2.8300000000000303,24.99999999998792
-3.34000000000003,493.00000000002547,-3.6150000000000304,278.00000000001234,-3.34000000000003,450.0000000000513,-3.6150000000000304,3.9999999999999116,-2.8250000000000304,9.00000000001812,-3.3700000000000303,3.0,-2.8200000000000305,21.00000000000604
-3.3300000000000303,494.00000000016905,-3.6050000000000306,256.00000000010215,-3.3300000000000303,442.0000000001812,-3.6050000000000306,2.0000000000061284,-2.8150000000000306,11.999999999981883,-3.3600000000000305,2.0000000000060396,-2.8100000000000307,18.000000000035616
-3.3200000000000305,484.999999999843,-3.595000000000031,252.9999999999219,-3.3200000000000305,439.99999999982487,-3.595000000000031,2.0,-2.805000000000031,8.000000000011724,-3.3500000000000307,1.0000000000060396,-2.800000000000031,21.999999999962075
-3.3100000000000307,464.0000000000332,-3.585000000000031,328.99999999969054,-3.3100000000000307,423.0000000000597,-3.585000000000031,6.999999999981348,-2.795000000000031,4.000000000012079,-3.340000000000031,1.0,-2.790000000000031,22.000000000006217
-3.300000000000031,482.99999999999136,-3.5750000000000313,256.0000000004041,-3.300000000000031,426.99999999999363,-3.5750000000000313,2.0000000000124345,-2.7850000000000312,9.999999999974598,-3.330000000000031,0.0,-2.7800000000000313,26.0
-3.290000000000031,454.999999999857,-3.5650000000000315,335.9999999996394,-3.290000000000031,419.99999999980105,-3.5650000000000315,6.217248937901009e-12,-2.7750000000000314,4.000000000025402,-3.3200000000000314,2.9999999999937828,-2.7700000000000315,27.00000000000524
-3.2800000000000313,429.00000000019276,-3.5550000000000317,351.0000000000038,-3.2800000000000313,390.0000000002114,-3.5550000000000317,0.9999999999936939,-2.7650000000000317,7.999999999986855,-3.3100000000000316,1.9999999999936051,-2.7600000000000318,25.999999999999023
