LOW,HIGH,t5_DESI_COUNT,t5_EXCEPT_COUNT,t3_220M_COUNT,t3_17M_COUNT,t3_33M_COUNT,t5_BOSS_COUNT
4.761183717316992E-4,4.7983804651085296E-4,0.0,0.0,1.2623074981065388E-4,0.0,1.0591397137674923E-4,0.0
4.7983804651085345E-4,4.8358678124921933E-4,0.0,0.0,1.1220511094280345E-4,0.0,7.943547853256193E-5,0.0
4.8358678124921933E-4,4.8736480297772875E-4,0.0,0.0,1.2623074981065388E-4,0.0,9.267472495465558E-5,0.0
4.8736480297772875E-4,4.911723405009921E-4,0.0,0.0,1.0519229150887823E-4,0.0,7.943547853256193E-5,0.0
4.911723405009926E-4,4.950096244111565E-4,0.0,0.0,1.9635894414990604E-4,0.0,1.456317106430302E-4,0.0
4.950096244111565E-4,4.988768871018685E-4,0.0,0.0,2.9453841622485905E-4,0.0,2.5154568201977946E-4,0.0
4.988768871018685E-4,5.027743627823517E-4,0.0,0.0,1.6129484698027994E-4,0.0,1.1915321779884289E-4,0.0
5.027743627823522E-4,5.067022874915892E-4,0.0,0.0,1.2623074981065388E-4,0.0,1.1915321779884289E-4,0.0
5.067022874915892E-4,5.106608991126171E-4,0.0,0.0,1.4025638867850432E-4,0.0,1.0591397137674923E-4,0.0
5.106608991126171E-4,5.146504373869342E-4,0.0,0.0,1.6129484698027994E-4,0.0,1.1915321779884289E-4,0.0
5.146504373869348E-4,5.1867114392902E-4,0.0,0.0,2.8752559679093385E-4,0.0,2.1182794275349847E-4,0.0
5.186711439290195E-4,5.227232622409648E-4,0.0,0.0,2.314230413195321E-4,0.0,1.8534944990931116E-4,0.0
5.227232622409654E-4,5.268070377272227E-4,0.0,0.0,2.314230413195321E-4,0.0,1.8534944990931116E-4,0.0
5.268070377272233E-4,5.30922717709467E-4,0.0,0.0,2.244102218856069E-4,0.0,1.721102034872175E-4,0.0
5.309227177094665E-4,5.350705514415716E-4,0.0,0.0,3.5064097169626077E-4,0.0,2.647849284418731E-4,0.0
5.350705514415721E-4,5.392507901247093E-4,0.0,0.0,2.8752559679093385E-4,0.0,2.2506718917559212E-4,0.0
5.392507901247093E-4,5.434636869225583E-4,0.0,0.0,2.3843586075345734E-4,0.0,2.1182794275349847E-4,0.0
